ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2010-06-07 00:00:00+00:00,33,1,6640,1061.25,1061.75,1061.25,1061.25,206,ES.c.0
2010-06-07 00:01:00+00:00,33,1,6640,1061.25,1062.0,1061.25,1062.0,495,ES.c.0
2010-06-07 00:02:00+00:00,33,1,6640,1061.75,1062.0,1061.5,1061.5,476,ES.c.0
2010-06-07 00:03:00+00:00,33,1,6640,1061.5,1061.5,1061.0,1061.0,270,ES.c.0
2010-06-07 00:04:00+00:00,33,1,6640,1061.25,1062.25,1061.0,1062.25,349,ES.c.0
2010-06-07 00:05:00+00:00,33,1,6640,1062.25,1062.25,1061.75,1062.25,384,ES.c.0
2010-06-07 00:06:00+00:00,33,1,6640,1062.25,1062.25,1062.0,1062.0,38,ES.c.0
2010-06-07 00:07:00+00:00,33,1,6640,1062.0,1062.0,1061.75,1061.75,150,ES.c.0
2010-06-07 00:08:00+00:00,33,1,6640,1061.75,1061.75,1061.25,1061.5,170,ES.c.0
2010-06-07 00:09:00+00:00,33,1,6640,1061.75,1062.25,1061.75,1062.0,404,ES.c.0
2010-06-07 00:10:00+00:00,33,1,6640,1062.0,1062.5,1061.0,1061.0,692,ES.c.0
2010-06-07 00:11:00+00:00,33,1,6640,1061.0,1061.25,1060.5,1060.5,322,ES.c.0
2010-06-07 00:12:00+00:00,33,1,6640,1060.5,1060.75,1059.25,1059.25,1638,ES.c.0
2010-06-07 00:13:00+00:00,33,1,6640,1059.25,1060.0,1058.75,1059.25,755,ES.c.0
2010-06-07 00:14:00+00:00,33,1,6640,1059.0,1059.5,1058.5,1058.75,358,ES.c.0
2010-06-07 00:15:00+00:00,33,1,6640,1058.75,1059.0,1058.0,1058.5,422,ES.c.0
2010-06-07 00:16:00+00:00,33,1,6640,1058.5,1059.0,1058.5,1059.0,417,ES.c.0
2010-06-07 00:17:00+00:00,33,1,6640,1059.0,1059.0,1058.75,1059.0,140,ES.c.0
2010-06-07 00:18:00+00:00,33,1,6640,1059.0,1059.25,1059.0,1059.0,318,ES.c.0
2010-06-07 00:19:00+00:00,33,1,6640,1059.25,1059.25,1058.0,1058.25,692,ES.c.0
2010-06-07 00:20:00+00:00,33,1,6640,1058.25,1058.5,1057.5,1058.25,891,ES.c.0
2010-06-07 00:21:00+00:00,33,1,6640,1058.25,1058.75,1058.0,1058.75,141,ES.c.0
2010-06-07 00:22:00+00:00,33,1,6640,1058.75,1058.75,1058.5,1058.75,175,ES.c.0
2010-06-07 00:23:00+00:00,33,1,6640,1058.75,1058.75,1058.25,1058.25,98,ES.c.0
