date,entry_time,exit_time,direction,entry_price,exit_price,qty,r_pts,pnl_pts,pnl_R,pnl_usd,pnl_pct,duration_min,exit_reason,meta
2020-05-04,09:35,10:02,SHORT,2794.0000,2807.0000,1.00,13.0000,-13.0000,-1.0000,-650.00,0.000000,27.00,stop,strategy=b1b2;target_mult=1.;abr_prev=6.34375;b1_range=12.5;b2_follow=good
2020-05-15,09:35,09:39,SHORT,2813.7500,2825.2500,1.00,11.5000,-11.5000,-1.0000,-575.00,0.000000,4.00,stop,strategy=b1b2;target_mult=1.;abr_prev=6.9375;b1_range=11.;b2_follow=poor
2020-05-27,09:36,09:54,SHORT,3010.7500,2993.7500,1.00,8.5000,17.0000,2.0000,850.00,0.000000,18.00,target,strategy=b1b2;target_mult=2.;abr_prev=5.6875;b1_range=8.;b2_follow=good
2020-06-08,09:35,10:07,LONG,3207.0000,3198.5000,1.00,8.5000,-8.5000,-1.0000,-425.00,0.000000,32.00,stop,strategy=b1b2;target_mult=2.;abr_prev=6.15625;b1_range=8.;b2_follow=good
2020-06-10,09:35,09:52,SHORT,3206.0000,3196.2500,1.00,9.7500,9.7500,1.0000,487.50,0.000000,17.00,target,strategy=b1b2;target_mult=1.;abr_prev=5.40625;b1_range=9.25;b2_follow=poor
2020-07-03,09:35,09:47,SHORT,3115.5000,3119.7500,1.00,4.2500,-4.2500,-1.0000,-212.50,0.000000,12.00,stop,strategy=b1b2;target_mult=1.;abr_prev=5.28125;b1_range=3.75;b2_follow=poor
2020-07-08,09:35,10:29,LONG,3152.0000,3152.0000,1.00,12.0000,0.0000,0.0000,0.00,0.000000,54.00,stop,strategy=b1b2;target_mult=1.;abr_prev=5.;b1_range=11.5;b2_follow=good
2020-07-14,09:39,09:51,LONG,3143.2500,3127.0000,1.00,16.2500,-16.2500,-1.0000,-812.50,0.000000,12.00,stop,strategy=b1b2;target_mult=1.;abr_prev=9.96875;b1_range=15.75;b2_follow=good
2020-07-16,09:35,09:40,SHORT,3191.2500,3200.7500,1.00,9.5000,-9.5000,-1.0000,-475.00,0.000000,5.00,stop,strategy=b1b2;target_mult=1.;abr_prev=5.25;b1_range=9.;b2_follow=poor
2020-07-17,09:40,11:02,SHORT,3211.2500,3211.2500,1.00,8.0000,0.0000,0.0000,0.00,0.000000,82.00,stop,strategy=b1b2;target_mult=2.;abr_prev=5.875;b1_range=7.5;b2_follow=good
2020-07-22,09:35,10:49,LONG,3251.0000,3251.0000,1.00,6.2500,0.0000,0.0000,0.00,0.000000,74.00,stop,strategy=b1b2;target_mult=2.;abr_prev=5.6875;b1_range=5.75;b2_follow=good
2020-07-29,09:55,10:55,LONG,3227.7500,3235.7500,1.00,8.0000,8.0000,1.0000,400.00,0.000000,60.00,target,strategy=b1b2;target_mult=1.;abr_prev=4.4375;b1_range=7.5;b2_follow=poor
2020-07-31,09:35,10:08,SHORT,3249.0000,3237.2500,1.00,11.7500,11.7500,1.0000,587.50,0.000000,33.00,target,strategy=b1b2;target_mult=1.;abr_prev=5.34375;b1_range=11.25;b2_follow=good
2020-08-03,09:37,10:00,SHORT,3278.2500,3284.0000,1.00,5.7500,-5.7500,-1.0000,-287.50,0.000000,23.00,stop,strategy=b1b2;target_mult=2.;abr_prev=5.625;b1_range=5.25;b2_follow=good
2020-08-04,09:45,10:35,LONG,3285.7500,3285.7500,1.00,8.2500,0.0000,0.0000,0.00,0.000000,50.00,stop,strategy=b1b2;target_mult=1.;abr_prev=4.46875;b1_range=7.75;b2_follow=poor
2020-08-25,09:38,10:53,SHORT,3429.5000,3422.2500,1.00,7.2500,7.2500,1.0000,362.50,0.000000,75.00,target,strategy=b1b2;target_mult=1.;abr_prev=3.375;b1_range=6.75;b2_follow=good
2020-09-23,09:35,09:37,SHORT,3305.5000,3310.0000,1.00,4.5000,-4.5000,-1.0000,-225.00,0.000000,2.00,stop,strategy=b1b2;target_mult=2.;abr_prev=4.59375;b1_range=4.;b2_follow=poor
2020-09-24,09:35,09:48,SHORT,3203.2500,3219.5000,1.00,16.2500,-16.2500,-1.0000,-812.50,0.000000,13.00,stop,strategy=b1b2;target_mult=1.;abr_prev=6.5625;b1_range=15.75;b2_follow=good
2020-10-05,09:46,10:32,LONG,3371.5000,3382.7500,1.00,11.2500,11.2500,1.0000,562.50,0.000000,46.00,target,strategy=b1b2;target_mult=1.;abr_prev=5.5625;b1_range=10.75;b2_follow=good
2020-10-07,09:43,13:44,LONG,3392.0000,3403.2500,1.00,11.2500,11.2500,1.0000,562.50,0.000000,241.00,target,strategy=b1b2;target_mult=1.;abr_prev=8.28125;b1_range=10.75;b2_follow=poor
2020-10-09,09:35,09:46,LONG,3460.7500,3455.2500,1.00,5.5000,-5.5000,-1.0000,-275.00,0.000000,11.00,stop,strategy=b1b2;target_mult=1.;abr_prev=2.53125;b1_range=5.;b2_follow=poor
2020-10-19,09:35,09:59,LONG,3491.0000,3486.7500,1.00,4.2500,-4.2500,-1.0000,-212.50,0.000000,24.00,stop,strategy=b1b2;target_mult=2.;abr_prev=5.;b1_range=3.75;b2_follow=good
2020-10-23,09:35,09:55,SHORT,3455.0000,3455.0000,1.00,5.7500,0.0000,0.0000,0.00,0.000000,20.00,stop,strategy=b1b2;target_mult=2.;abr_prev=4.21875;b1_range=5.25;b2_follow=good
2020-11-11,09:37,09:48,SHORT,3558.5000,3567.0000,1.00,8.5000,-8.5000,-1.0000,-425.00,0.000000,11.00,stop,strategy=b1b2;target_mult=1.;abr_prev=7.84375;b1_range=8.;b2_follow=poor
2020-11-24,09:35,10:01,SHORT,3596.5000,3604.5000,1.00,8.0000,-8.0000,-1.0000,-400.00,0.000000,26.00,stop,strategy=b1b2;target_mult=1.;abr_prev=4.25;b1_range=7.5;b2_follow=good
2020-12-08,09:35,10:17,LONG,3682.2500,3682.2500,1.00,6.0000,0.0000,0.0000,0.00,0.000000,42.00,stop,strategy=b1b2;target_mult=2.;abr_prev=5.21875;b1_range=5.5;b2_follow=good
2020-12-09,09:35,09:42,SHORT,3704.7500,3709.5000,1.00,4.7500,-4.7500,-1.0000,-237.50,0.000000,7.00,stop,strategy=b1b2;target_mult=1.;abr_prev=2.71875;b1_range=4.25;b2_follow=poor
2020-12-24,09:35,11:30,LONG,3690.7500,3684.7500,1.00,6.0000,-6.0000,-1.0000,-300.00,0.000000,115.00,stop,strategy=b1b2;target_mult=1.;abr_prev=5.21875;b1_range=5.5;b2_follow=poor
2021-01-04,09:35,09:52,SHORT,3750.2500,3740.2500,1.00,10.0000,10.0000,1.0000,500.00,0.000000,17.00,target,strategy=b1b2;target_mult=1.;abr_prev=5.3125;b1_range=9.5;b2_follow=good
2021-01-05,09:35,09:40,LONG,3698.2500,3711.5000,1.00,13.2500,13.2500,1.0000,662.50,0.000000,5.00,target,strategy=b1b2;target_mult=1.;abr_prev=5.4375;b1_range=12.75;b2_follow=good
2021-01-14,09:35,09:55,SHORT,3806.7500,3813.0000,1.00,6.2500,-6.2500,-1.0000,-312.50,0.000000,20.00,stop,strategy=b1b2;target_mult=1.;abr_prev=3.21875;b1_range=5.75;b2_follow=poor
2021-01-15,09:46,10:03,LONG,3778.7500,3770.5000,1.00,8.2500,-8.2500,-1.0000,-412.50,0.000000,17.00,stop,strategy=b1b2;target_mult=1.;abr_prev=4.78125;b1_range=7.75;b2_follow=poor
2021-01-22,09:36,09:41,LONG,3828.7500,3825.2500,1.00,3.5000,-3.5000,-1.0000,-175.00,0.000000,5.00,stop,strategy=b1b2;target_mult=1.;abr_prev=2.84375;b1_range=3.;b2_follow=poor
2021-01-25,09:35,09:48,LONG,3846.5000,3840.2500,1.00,6.2500,-6.2500,-1.0000,-312.50,0.000000,13.00,stop,strategy=b1b2;target_mult=1.;abr_prev=3.65625;b1_range=5.75;b2_follow=poor
2021-01-29,09:35,09:47,SHORT,3749.7500,3749.7500,1.00,12.2500,0.0000,0.0000,0.00,0.000000,12.00,stop,strategy=b1b2;target_mult=2.;abr_prev=9.1875;b1_range=11.75;b2_follow=good
