date,entry_time,exit_time,direction,entry_price,exit_price,qty,r_pts,pnl_pts,pnl_R,pnl_usd,pnl_pct,duration_min,exit_reason,meta
2010-07-23,09:37,10:49,LONG,1091.5000,1093.5000,1.00,1.0000,1.6700,1.6700,83.50,0.000000,72.00,target,strategy=b1b2;target_mult=2.;abr_prev=1.65625;b1_range=0.5;b2_follow=good
2010-07-27,09:48,11:40,LONG,1114.5000,1114.5000,1.00,1.7500,-0.3300,-0.1886,-16.50,0.000000,112.00,stop,strategy=b1b2;target_mult=1.;abr_prev=1.1875;b1_range=1.25;b2_follow=poor
